"m.z"	"p.value"	"t.score"	"r.t"
223.01793	0.440074225	0.6	20.251
90.02641	0.440413743	0.4	1.498
128.98434	0.441077422	0.49	10.331
447.28146	0.441344473	-1.28	7.083
179.01856	0.442633826	1.68	19.093
370.99896	0.443544113	-0.78	14.849
126.01019	0.444537685	0.63	1.611
128.97121	0.445033676	0.33	7.83
204.05526	0.446325683	0.67	9.292
366.10823	0.447361848	1.71	16.307
154.991	0.447476367	1.05	2.853
190.89498	0.448372028	0.77	3.498
212.92496	0.449406227	0.49	11.316
196.92476	0.449509152	0.38	16.407
497.65871	0.450357055	0.35	7.913
152.99998	0.452237825	1.15	1.626
183.1015	0.452286977	0.59	7.923
414.84514	0.452406673	0.53	1.664
108.01016	0.452521516	0.72	1.634
548.81473	0.453218948	0.65	5.57
694.66658	0.454040832	0.32	1.638
221.02515	0.454398282	0.46	10.704
134.00815	0.455623793	-1.47	7.349
336.88656	0.455871428	0.37	1.514
132.93558	0.45787046	0.47	4.139
134.05986	0.458258058	1.01	19.039
198.86717	0.458355008	0.66	3.65
134.00726	0.458501061	1.01	19.03
122.02345	0.459309001	1.12	10.56
127.94213	0.459798426	0.76	19.046
447.28144	0.461492213	0.77	6.084
166.97844	0.461831669	0.7	19.05
608.83575	0.461877965	0.6	1.644
98.97167	0.461992715	-0.72	14.842
134.98938	0.462239206	-0.68	7.177
91.96549	0.463113472	-1	8.245
146.95753	0.464585861	0.65	11.587
89.02225	0.465169631	0.35	7.843
119.02224	0.465877344	0.15	7.923
173.11708	0.467048277	-0.95	7.598
130.00133	0.467693567	-1.45	7.152
132.01077	0.467833477	-1.29	7.131
150.94579	0.468485876	0.65	7.93
269.08709	0.469604466	1.21	1.554
498.32428	0.470033288	0.46	1.595
490.48891	0.470514628	0.64	15.712
306.923	0.470939612	-1.6	7.158
142.97099	0.471075975	0.59	4.936
154.96175	0.473041859	-1.15	7.405
694.00108	0.473084409	-1.32	7.118
152.93796	0.473152332	-0.8	4.795
448.28719	0.473207387	1.08	19.086
586.85389	0.474368588	0.59	10.319
270.87978	0.474567639	0.5	1.586
358.12666	0.47687677	-0.66	7.335
132.94505	0.477744169	-0.91	4.781
284.01582	0.477785698	0.46	7.969
148.92311	0.479084329	2.34	29.652
233.9233	0.481694777	0.34	1.674
129.01567	0.484578095	1.27	1.557
153.01447	0.485175672	-1.08	7.056
214.89088	0.486073393	-0.68	7.12
241.09214	0.487093411	0.6	3.948
224.91985	0.487842048	0.47	3.69
211.98489	0.48820523	0.58	7.949
132.94504	0.489246663	0.59	1.58
111.00516	0.490833379	-1.44	7.189
449.00713	0.491404449	0.64	1.633
406.1209	0.492848129	0.77	6.265
539.13848	0.493423094	0.52	11.127
158.01306	0.494001022	-1.18	4.801
368.10793	0.494317834	0.68	9.695
238.90947	0.495440897	-0.97	7.088
308.90015	0.495796369	-2.09	7.116
292.91324	0.496547698	-1.15	8.241
98.95596	0.499223176	0.79	19.016
437.48547	0.499670765	0.51	14.757
259.04033	0.499919777	0.56	9.702
271.06636	0.502209228	-0.71	7.147
132.04757	0.505744447	0.24	14.97
386.11465	0.50651711	0.45	3.752
448.28713	0.508689135	0.93	10.085
294.99428	0.508811362	-0.55	14.813
428.31916	0.508861402	-0.54	7.187
134.00817	0.511451749	1.04	10.563
98.97221	0.511750589	0.18	14.975
294.88658	0.512034923	0.5	1.655
122.96959	0.513768806	0.87	19.041
232.89202	0.515097631	0.72	3.13
444.03667	0.516435481	-1.37	7.152
142.0497	0.518541917	0.35	1.631
180.015	0.518598605	-0.73	7.127
243.04538	0.518839463	0.23	15.021
233.99551	0.52260824	0.47	7.97
198.93345	0.523067127	0.47	1.642
337.09401	0.523660096	0.69	17.413
695.99824	0.524388305	-0.75	7.111
624.80969	0.524466084	-1.11	7.107
176.90903	0.524550786	-0.71	8.067
381.04944	0.524786205	0.77	3.513
341.12523	0.525684552	0.5	1.651
489.49013	0.52744523	-1.8	8.087
228.9641	0.528099921	2.54	0.087
476.09261	0.528188912	-1.28	7.953
129.01538	0.528892867	-1.19	7.093
106.03983	0.529273389	-0.51	10.643
152.88245	0.529325509	0.42	16.726
116.00264	0.530127032	0.79	4.905
290.86983	0.532774389	0.47	4.705
598.21163	0.53336299	0.39	1.767
376.85512	0.534671049	2.97	16.185
335.06675	0.534913119	0.65	19.028
210.84129	0.535831992	-1.01	7.026
524.07323	0.536351503	0.18	3.919
92.9277	0.536535279	0.47	6.087
208.84424	0.538692136	0.57	3.094
234.85833	0.538811203	-0.89	6.835
597.01891	0.542175582	0.35	1.677
175.09636	0.543444148	0.43	1.616
111.00505	0.543449178	0.22	1.629
559.98122	0.543540712	0.54	3.734
646.04779	0.543867151	-0.54	7.596
493.98595	0.545052869	0.56	3.671
188.96287	0.545589781	0.35	1.675
499.65563	0.546102567	0.66	3.05
334.96962	0.546368353	0.49	1.629
369.12653	0.546386596	-1.15	4.796
443.14049	0.547796778	-0.72	7.177
366.05647	0.549225741	2.36	10.761
137.93956	0.550515703	0.61	5.545
199.0168	0.551101567	0.71	13.942
246.93527	0.552599837	-0.46	12.314
184.93681	0.552708571	1.02	19.03
202.93128	0.554855656	0.46	11.508
106.03985	0.555434375	1.5	3.917
114.01843	0.556046902	0.93	13.973
200.06649	0.557161333	-0.7	7.568
132.01244	0.557316477	-1.01	8.318
206.07074	0.560071128	0.09	7.145
234.8936	0.563077191	0.91	19.052
231.04754	0.563525189	-1.09	6.818
232.05008	0.564032489	1.39	1.612
596.88854	0.564891596	0.52	3.629
266.80645	0.569580327	0.13	1.642
309.10082	0.571520343	1.06	4.748
294.85732	0.576433743	-0.65	7.098
113.0344	0.577354018	0.31	1.618
546.17226	0.579532077	-0.69	7.098
142.96147	0.579793215	0.72	13.412
92.92772	0.580825325	-0.44	5.108
384.99935	0.582046869	0.89	19.036
166.96237	0.585214427	0.4	16.372
96.96967	0.585326131	-1.12	7.051
152.88245	0.586365725	0.25	1.64
125.03439	0.587063974	0.69	9.237
212.8924	0.5879371	-1.44	7.16
623.99551	0.588442936	0.71	3.345
210.84125	0.590290673	-0.62	7.528
92.02417	0.591220067	0.52	7.901
262.0305	0.593762221	-1.8	4.76
121.96258	0.597039663	0.47	1.639
596.49584	0.597422203	0.76	6.164
230.84737	0.597943825	0.29	7.886
124.01533	0.601666187	-0.46	10.696
284.77422	0.604194299	0.57	1.627
549.18522	0.604630652	0.63	1.591
96.96989	0.605511271	0.52	5.197
141.97463	0.60658876	0.81	1.631
133.01301	0.608398451	-0.47	7.204
169.03157	0.610091623	0.76	1.931
442.11485	0.61423197	-0.68	4.83
244.06737	0.614267292	0.67	5.098
330.91818	0.616280478	0.25	1.614
186.96375	0.617404921	0.96	9.432
283.10286	0.618584952	0.95	1.662
201.94822	0.618903394	0.24	1.625
235.91899	0.619261089	1.37	6.518
150.01597	0.620140866	0.93	1.569
234.85828	0.620917516	-0.81	7.112
314.90461	0.625471252	-1.3	7.091
219.02681	0.630903073	0.69	1.588
133.00804	0.631641311	1.7	1.609
245.06405	0.633039594	0.36	11.851
326.0251	0.633284779	-1.82	8.104
205.05144	0.633465755	1.01	0.195
141.01568	0.633758265	2.05	16.193
130.95602	0.634181148	1.13	19.032
337.97826	0.634536649	0.29	1.631
154.92697	0.636416559	1.22	1.537
