"m.z"	"p.value"	"t.score"	"r.t"
358.12666	0.14817606	0.92	1.664
132.94505	0.148839061	-0.88	8.208
284.01582	0.150642307	-1.47	14.83
148.92311	0.150878414	1.29	1.637
233.9233	0.15266237	1.25	10.119
129.01567	0.15394637	-0.7	4.653
153.01447	0.154405434	1.21	1.609
214.89088	0.154739357	-1.74	4.85
241.09214	0.156221553	0.88	6.087
224.91985	0.157635477	0.44	10.643
211.98489	0.15848271	1.41	1.588
132.94504	0.159904604	2.23	3.756
111.00516	0.160252086	-1.23	14.799
449.00713	0.160287173	0.63	1.696
406.1209	0.160559538	-1.05	0.241
539.13848	0.16147049	0.83	11.587
158.01306	0.161980534	0.55	1.669
368.10793	0.162385011	0.81	1.603
238.90947	0.163745169	-1.39	4.747
308.90015	0.163757751	-0.76	12.306
292.91324	0.164284717	0.24	1.623
98.95596	0.167572541	1.02	10.273
437.48547	0.167911363	1.2	8.082
259.04033	0.168686882	1.01	9.292
271.06636	0.169730771	-2.89	4.76
132.04757	0.17274614	1.39	10.41
386.11465	0.174703163	-1.46	7.088
448.28713	0.174788808	1.14	1.635
294.99428	0.175134095	0.76	3.896
428.31916	0.1755433	1	9.911
134.00817	0.175997743	-1.44	4.791
98.97221	0.176412848	-0.64	7.244
294.88658	0.176892331	-1.63	6.818
122.96959	0.178379483	2.19	16.397
232.89202	0.180452113	-0.75	12.308
444.03667	0.181243506	0.83	1.605
142.0497	0.18235974	2.16	2.798
180.015	0.182829207	0.7	1.58
243.04538	0.183831598	0.65	1.672
233.99551	0.184947581	0.82	1.586
198.93345	0.185895872	0.71	3.752
337.09401	0.185978949	0.73	17.128
695.99824	0.188087829	-0.37	7.558
624.80969	0.189716384	0.52	1.597
176.90903	0.190470465	1.21	8.266
381.04944	0.191009435	-1.91	6.843
341.12523	0.191055364	1.57	1.628
489.49013	0.1916484	1.07	3.578
228.9641	0.192493946	0.86	1.78
476.09261	0.192945619	-0.76	7.169
129.01538	0.19381109	2.35	10.523
106.03983	0.194248669	0.9	6.066
152.88245	0.196636942	-1.72	4.832
116.00264	0.19674281	0.13	1.68
290.86983	0.196972017	1.4	8.251
598.21163	0.198461761	0.7	1.633
376.85512	0.200610349	0.65	3.755
335.06675	0.202274567	-1.39	12.229
210.84129	0.20322922	0.4	7.873
524.07323	0.203587305	-0.51	15.29
92.9277	0.204995537	0.67	3.702
208.84424	0.206584186	0.83	1.591
234.85833	0.207072693	1.07	17.413
597.01891	0.20786755	1.05	5.098
175.09636	0.208578633	-0.95	8.207
111.00505	0.209504735	1.14	10.077
559.98122	0.210809824	-0.95	14.783
646.04779	0.212139479	1.16	16.163
493.98595	0.21294959	0.81	9.702
188.96287	0.213796438	1.09	9.695
499.65563	0.214920989	-1.37	4.813
334.96962	0.215572288	-1.74	7.637
369.12653	0.216368522	1.41	10.121
443.14049	0.21699407	0.86	4.477
366.05647	0.217000792	-4.61	1.845
137.93956	0.217201298	-1.02	7.138
199.0168	0.217933253	0.96	5.57
246.93527	0.2184912	-1.4	4.752
184.93681	0.219507866	0.62	1.598
202.93128	0.220289059	-0.54	14.842
106.03985	0.22053321	-0.96	4.798
114.01843	0.220909399	-1.22	4.791
200.06649	0.220982125	1.13	4.078
132.01244	0.221876521	1.25	1.629
206.07074	0.223308656	0.77	3.734
234.8936	0.223461569	0.81	7.922
231.04754	0.225342474	1.12	1.616
232.05008	0.225637936	-1.07	4.359
596.88854	0.226727369	-0.31	15.267
266.80645	0.226880662	0.55	1.696
309.10082	0.227505411	-1.04	4.778
294.85732	0.227622939	0.65	3.999
113.0344	0.22924328	-1.18	4.781
546.17226	0.230045635	0.32	1.608
142.96147	0.23057356	1	3.094
92.92772	0.23233813	0.98	3.845
384.99935	0.232502843	2.42	0.195
166.96237	0.232515915	-2.07	6.835
96.96967	0.233430385	0.68	3.69
152.88245	0.234439839	0.61	11.47
125.03439	0.235108668	1.06	5.181
212.8924	0.236020032	1.69	4.516
623.99551	0.236076345	0.81	1.651
210.84125	0.236334962	0.99	3.345
92.02417	0.237054339	1.36	16.163
262.0305	0.237330791	0.73	3.878
121.96258	0.237384617	-2.03	4.698
596.49584	0.23815958	-3.46	7.875
230.84737	0.239057302	0.97	13.942
124.01533	0.239586083	2.05	3.917
284.77422	0.240532421	1.1	3.279
549.18522	0.240617865	-0.47	7.68
96.96989	0.241144699	-0.99	1.616
141.97463	0.241596099	0.92	10.429
133.01301	0.241856141	0.55	1.674
169.03157	0.242655386	-1.37	4.764
442.11485	0.242937286	0.66	4.705
244.06737	0.245262029	-1.22	4.814
330.91818	0.246696222	0.66	16.726
186.96375	0.248037355	1.24	1.616
283.10286	0.248331949	-1.8	4.773
201.94822	0.248944571	-1.23	4.779
235.91899	0.250497077	0.75	7.92
150.01597	0.254173237	-1.51	7.512
234.85828	0.25554389	-2.34	7.949
314.90461	0.256141281	1.16	3.13
219.02681	0.25740526	-2.38	7.317
133.00804	0.257749023	-1.6	7.189
245.06405	0.259476569	1.64	2.855
326.0251	0.262046553	0.61	4.097
205.05144	0.262730904	0.82	16.414
141.01568	0.263173849	-1.07	7.611
130.95602	0.264256661	-2.07	7.528
337.97826	0.267919113	0.76	1.625
154.92697	0.27005366	-2.61	7.353
269.01318	0.272018882	0.71	3.65
154.92697	0.273385204	-1.91	4.773
196.00965	0.274556103	0.43	7.953
146.98179	0.275142995	0.69	7.949
243.95578	0.275307004	0.85	9.69
205.07063	0.275354611	1.3	13.973
205.07064	0.276078518	-2.23	8.07
315.99622	0.276663091	2.67	7.335
304.92296	0.279241935	-1.62	7.971
301.02004	0.279952853	-0.44	15.144
286.01731	0.280230788	-1.29	7.975
154.92699	0.280855459	0.67	1.573
255.00329	0.282624822	2.39	1.632
199.13289	0.284386262	1.69	10.538
345.14665	0.284774059	-1.11	4.775
316.98027	0.286119887	0.57	1.677
282.96749	0.286414846	-1.18	7.598
298.96238	0.287007437	-1.15	4.79
209.15361	0.289034252	-1.08	7.026
153.0157	0.290102213	-0.8	29.718
259.04072	0.291552971	-1.87	4.708
282.95227	0.292511511	0.78	16.439
188.96141	0.294173304	-1.16	7.613
352.86045	0.294315396	1.04	10.53
277.03227	0.299361508	-1.61	4.785
360.92988	0.301328318	-0.86	4.789
462.98876	0.302758035	-0.82	4.762
144.96047	0.304586091	0.56	1.675
314.89528	0.306208152	-2.03	19.615
292.89072	0.309967021	-0.86	7.72
228.07272	0.311737471	1.05	1.615
314.89528	0.31204447	0.67	4.272
190.97176	0.312434675	-1.72	7.03
226.05709	0.312714394	1.46	6.141
193.01238	0.314002441	1.34	4.83
235.99064	0.31420783	-0.62	7.596
181.01138	0.315690962	1.99	16.307
198.99779	0.317037605	0.55	1.698
172.02419	0.317288134	6.03	16.191
152.00101	0.317960047	-0.84	10.572
285.03337	0.317973785	-0.94	4.784
522.05551	0.32137748	-1.42	7.954
178.94848	0.321966549	-0.87	7.952
306.04438	0.322408536	-0.92	30.091
372.15578	0.326717984	0.51	7.97
319.98726	0.329573804	2.67	16.185
317.92149	0.330641894	-0.63	1.544
340.92082	0.33098964	1.74	10.077
189.00187	0.331905598	0.81	3.513
188.97373	0.335038565	-0.61	7.134
428.92451	0.336358907	0.62	16.434
412.87252	0.339313265	-0.88	4.805
462.18372	0.344937289	-3.46	7.925
450.79967	0.346646	0.25	7.888
409.14496	0.347315047	-1.67	4.805
595.10969	0.347325442	0.98	1.639
434.82555	0.351973726	1.08	4.679
216.08673	0.357175432	0.48	4.936
317.11119	0.357564832	-1.39	4.753
390.89965	0.357590316	0.6	20.251
337.06191	0.358592277	-1.68	6.958
390.89965	0.359965027	-2.21	3.152
151.01869	0.373413901	-0.68	14.804
267.02507	0.373638014	0.21	1.614
221.02928	0.374715414	-0.83	7.493
426.98756	0.377946999	-2.05	4.806
412.8816	0.379420648	0.35	4.278
223.04493	0.379770039	-0.6	4.811
179.01758	0.379897724	4.82	16.244
371.07005	0.38291377	-0.34	15.269
271.00321	0.383989786	-1.3	12.375
176.95872	0.38458433	-1.06	7.177
154.01671	0.384647904	-1.53	7.47
172.02157	0.384884301	-0.78	1.514
176.95872	0.388708514	0.47	7.873
204.99278	0.388910278	3.61	16.195
178.96217	0.388942061	-1.33	4.801
259.01785	0.389166136	-0.36	1.506
220.95531	0.392187737	-2.14	7.382
220.02881	0.394693893	1.02	7.968
222.93756	0.396129754	-0.38	7.785
174.97678	0.39896159	1.69	7.36
176.95873	0.401316393	2.28	13.769
383.11667	0.402491037	-2.05	4.801
236.02504	0.40267101	1.92	12.018
204.99279	0.404946876	-0.69	7.103
440.92471	0.405646295	-1.05	7.197
433.02055	0.408129518	5	14.787
356.9891	0.408237981	-1.05	4.787
548.10351	0.410209633	-1.28	8.203
521.033	0.411998693	-1.75	29.746
241.08365	0.412624929	-0.87	7.187
483.98012	0.41426375	0.66	3.871
233.04653	0.417602236	4.84	16.179
314.87264	0.420115249	-1.61	4.821
252.96271	0.421895964	0.4	2.524
354.06223	0.427799404	-1.11	4.782
244.99629	0.427854025	0.7	1.591
342.91026	0.433101212	0.88	3.495
216.90446	0.433559468	-1.08	4.819
545.97135	0.436895136	-1.56	7.326
218.00943	0.437800615	-0.77	12.419
150.96123	0.43795615	1.03	12.931
472.78145	0.440934049	0.6	6.127
222.98646	0.441193899	0.33	7.843
245.0518	0.442086769	0.27	15.297
194.9916	0.442871722	0.17	10.473
448.00356	0.445065365	0	8.041
166.01674	0.446873872	0.29	10.469
245.07696	0.447434156	-0.37	8.065
302.98016	0.447922978	0.52	7.882
266.94554	0.448839291	-1.07	4.798
245.0271	0.450364815	2.98	16.187
222.09741	0.450703086	0.55	1.58
222.93765	0.45337666	-0.98	4.753
376.13723	0.453461777	-2.06	29.786
266.02864	0.453833001	0.06	1.503
194.93876	0.459323608	-0.96	8.012
387.04405	0.465604626	-1.31	4.803
